player,nation,pos,age,mp,starts,min,gls,ast,pk,crdy,crdr,xg,xag,team
Brenden Aaronson,us USA,"MF,FW",25,29,23,1908,4,3,0,1,0,0.19,0.14,Leeds United
Zach Abbott,eng ENG,DF,19,2,1,120,0,0,0,0,0,0,0,Nottingham Forest
Tammy Abraham,eng ENG,FW,28,7,1,198,1,0,0,0,0,0.45,0,Aston Villa
Joshua Acheampong,eng ENG,DF,19,12,7,573,1,0,0,1,0,0.16,0,Chelsea
Tyler Adams,us USA,MF,27,18,18,1411,2,1,0,7,0,0.13,0.06,Bournemouth
Tosin Adarabioyo,eng ENG,DF,28,14,7,737,0,0,0,2,0,0,0,Chelsea
Simon Adingra,ci CIV,"MF,FW",24,14,9,653,1,0,0,2,0,0.14,0,Sunderland
Amine Adli,ma MAR,MF,25,26,9,968,3,1,0,2,0,0.28,0.09,Bournemouth
Emmanuel Agbadou,ci CIV,DF,28,14,12,1101,0,0,0,1,1,0,0,Wolves
Nayef Aguerd,ma MAR,DF,29,2,2,180,0,0,0,0,0,0,0,West Ham United
Ola Aina,ng NGA,DF,29,14,14,1230,0,0,0,3,0,0,0,Nottingham Forest
Rayan Aït-Nouri,dz ALG,DF,24,13,10,779,0,2,0,2,0,0,0.23,Manchester City
Kristoffer Ajer,no NOR,DF,27,24,18,1628,0,1,0,3,0,0,0.06,Brentford
Nathan Aké,nl NED,DF,31,14,4,495,0,0,0,1,0,0,0,Manchester City
Carlos Alcaraz,ar ARG,MF,23,16,6,675,0,1,0,3,0,0,0.13,Everton
Omar Alderete,py PAR,DF,29,26,25,2264,1,1,0,5,0,0.04,0.04,Sunderland
Alisson,br BRA,GK,33,25,25,2250,0,0,0,1,0,0,0,Liverpool
Max Alleyne,eng ENG,DF,20,2,2,135,0,0,0,0,0,0,0,Manchester City
Jaydon Amauri Banel,nl NED,"FW,MF",21,1,0,10,0,0,0,0,0,0,0,Burnley
Ethan Ampadu,wls WAL,MF,25,27,27,2399,1,1,0,7,0,0.04,0.04,Leeds United
Joachim Andersen,dk DEN,DF,29,27,27,2381,0,1,0,7,0,0,0.04,Fulham
Elliot Anderson,eng ENG,MF,23,30,30,2683,2,2,1,6,0,0.07,0.07,Nottingham Forest
André,br BRA,MF,24,28,23,2132,1,0,0,9,0,0.04,0,Wolves
Nilson Angulo,ec ECU,MF,22,5,3,256,0,0,0,0,0,0,0,Sunderland
Jaidon Anthony,eng ENG,MF,26,29,24,2024,7,1,0,4,0,0.31,0.04,Burnley
Alphonse Areola,fr FRA,GK,33,20,20,1800,0,1,0,0,0,0,0.05,West Ham United
Jhon Arias,co COL,"FW,MF",28,23,14,1124,1,0,0,1,0,0.08,0,Wolves
Adam Armstrong,eng ENG,"FW,MF",29,7,7,566,1,2,0,3,0,0.16,0.32,Wolves
Harrison Armstrong,eng ENG,MF,19,11,6,499,0,0,0,0,0,0,0,Everton
Tolu Arokodare,ng NGA,FW,25,27,12,1244,3,1,0,1,0,0.22,0.07,Wolves
Taiwo Awoniyi,ng NGA,FW,28,11,1,258,1,0,0,0,0,0.35,0,Nottingham Forest
Yasin Ayari,se SWE,MF,22,23,18,1718,3,2,0,1,0,0.16,0.1,Brighton
Benoît Badiashile,fr FRA,DF,24,8,6,471,0,0,0,2,0,0,0,Chelsea
Leon Bailey,jm JAM,MF,28,8,2,316,0,1,0,1,0,0,0.28,Aston Villa
Dilane Bakwa,fr FRA,MF,23,10,3,345,0,1,0,1,0,0,0.26,Nottingham Forest
Carlos Baleba,cm CMR,MF,22,24,19,1264,0,0,0,5,0,0,0,Brighton
Daniel Ballard,nir NIR,DF,26,26,22,2008,2,0,0,3,0,0.09,0,Sunderland
Ross Barkley,eng ENG,MF,32,13,1,336,2,0,0,0,0,0.54,0,Aston Villa
Ashley Barnes,eng ENG,"FW,MF",36,5,0,27,0,0,0,1,0,0,0,Burnley
Harvey Barnes,eng ENG,"FW,MF",28,29,16,1584,5,0,0,1,0,0.28,0,Newcastle United
Thierno Barry,fr FRA,FW,23,30,19,1630,6,0,0,3,0,0.33,0,Everton
Calvin Bassey,ng NGA,DF,26,22,20,1814,1,0,0,5,0,0.05,0,Fulham
Altay Bayındır,tr TUR,GK,27,6,6,540,0,0,0,0,0,0,0,Manchester Utd
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27,22,13,1086,1,1,0,4,0,0.08,0.08,Wolves
Walter Benítez,ar ARG,GK,33,1,1,90,0,0,0,0,0,0,0,Crystal Palace
Rodrigo Bentancur,uy URU,MF,28,20,17,1410,1,1,0,5,0,0.06,0.06,Tottenham Hotspur
Sander Berge,no NOR,MF,28,30,29,2500,0,1,0,5,0,0,0.04,Fulham
Lucas Bergvall,se SWE,MF,20,17,10,805,1,2,0,2,0,0.11,0.22,Tottenham Hotspur
Beto,gw GNB,FW,28,30,11,1132,4,0,0,2,0,0.32,0,Everton
Jaka Bijol,si SVN,DF,27,17,13,1218,1,1,0,3,0,0.07,0.07,Leeds United
Yves Bissouma,ml MLI,MF,29,8,5,462,0,0,0,3,0,0,0,Tottenham Hotspur
Marco Bizot,nl NED,GK,35,5,4,405,0,0,0,2,0,0,0,Aston Villa
Oscar Bobb,no NOR,"MF,FW",22,9,5,468,0,1,0,1,0,0,0.19,Manchester City
Oscar Bobb,no NOR,MF,22,6,2,236,0,0,0,0,0,0,0,Fulham
Lamare Bogarde,nl NED,"MF,DF",22,24,8,807,0,0,0,5,0,0,0,Aston Villa
Jayden Bogle,eng ENG,"DF,MF",25,28,26,2312,1,1,0,5,0,0.04,0.04,Leeds United
Sebastiaan Bornauw,be BEL,DF,26,9,4,304,0,0,0,1,0,0,0,Leeds United
Olivier Boscagli,fr FRA,DF,28,8,5,442,0,1,0,2,0,0,0.2,Brighton
Sven Botman,nl NED,DF,26,17,13,1152,1,1,0,1,0,0.08,0.08,Newcastle United
Jarrod Bowen,eng ENG,"MF,FW",29,30,30,2687,8,6,1,4,0,0.27,0.2,West Ham United
Conor Bradley,nir NIR,DF,22,15,12,929,0,1,0,5,0,0,0.1,Liverpool
Jarrad Branthwaite,eng ENG,DF,23,7,5,491,1,0,0,1,0,0.18,0,Everton
Brian Brobbey,nl NED,FW,24,23,14,1279,5,1,0,3,0,0.35,0.07,Sunderland
Armando Broja,al ALB,FW,24,20,8,819,1,1,0,0,0,0.11,0.11,Burnley
David Brooks,wls WAL,MF,28,24,12,1033,1,2,0,7,0,0.09,0.17,Bournemouth
Jacob Bruun Larsen,dk DEN,"MF,FW",27,23,10,972,0,1,0,0,0,0,0.09,Burnley
Emi Buendía,ar ARG,MF,29,28,18,1437,5,2,0,6,0,0.31,0.13,Aston Villa
Hugo Bueno,es ESP,"MF,DF",23,28,21,1952,1,1,0,1,0,0.05,0.05,Wolves
Santiago Bueno,uy URU,DF,27,22,21,1923,2,1,0,4,0,0.09,0.05,Wolves
Facundo Buonanotte,ar ARG,MF,21,1,1,45,0,0,0,0,0,0,0,Chelsea
Facundo Buonanotte,ar ARG,MF,21,2,0,26,0,0,0,1,0,0,0,Leeds United
Dan Burn,eng ENG,DF,33,22,20,1723,0,2,0,9,1,0,0.1,Newcastle United
Bradley Burrowes,eng ENG,MF,18,1,0,17,0,0,0,0,0,0,0,Aston Villa
Jun'ai Byfield,eng ENG,DF,17,1,0,1,0,0,0,0,0,0,0,Tottenham Hotspur
Sam Byram,eng ENG,"DF,MF",32,1,0,8,0,0,0,0,0,0,0,Leeds United
Moisés Caicedo,ec ECU,MF,24,25,24,2104,3,1,0,9,1,0.13,0.04,Chelsea
Tom Cairney,sct SCO,MF,35,20,4,562,1,0,0,3,0,0.16,0,Fulham
Riccardo Calafiori,it ITA,DF,23,22,18,1448,1,2,0,5,0,0.06,0.12,Arsenal
Dominic Calvert-Lewin,eng ENG,FW,29,27,22,2025,10,1,2,1,0,0.44,0.04,Leeds United
Jaydee Canvot,fr FRA,DF,19,13,7,706,0,0,0,2,0,0,0,Crystal Palace
Fabio Carvalho,pt POR,MF,23,6,1,102,1,0,0,0,0,0.88,0,Brentford
Casemiro,br BRA,MF,34,28,27,2050,7,2,0,9,1,0.31,0.09,Manchester Utd
Matty Cash,pl POL,DF,28,27,27,2351,3,2,0,7,0,0.11,0.08,Aston Villa
Timothy Castagne,be BEL,"DF,MF",30,22,12,1133,0,0,0,3,0,0,0,Fulham
Valentín Castellanos,ar ARG,FW,27,10,10,815,2,0,0,2,0,0.22,0,West Ham United
Trevoh Chalobah,eng ENG,DF,26,29,29,2550,3,0,0,3,1,0.11,0,Chelsea
Rayan Cherki,fr FRA,MF,22,25,14,1308,3,8,0,1,0,0.21,0.55,Manchester City
Federico Chiesa,it ITA,MF,28,22,1,282,2,1,0,2,0,0.64,0.32,Liverpool
Tawanda Chirewa,zw ZIM,MF,22,2,0,27,0,0,0,0,0,0,0,Wolves
Ryan Christie,sct SCO,MF,31,20,4,655,1,0,0,2,0,0.14,0,Bournemouth
Samuel Chukwueze,ng NGA,MF,26,16,7,779,3,4,0,0,0,0.35,0.46,Fulham
Dennis Cirkin,eng ENG,DF,23,7,3,304,0,0,0,1,0,0,0,Sunderland
Nathaniel Clyne,eng ENG,MF,34,8,6,495,0,1,0,1,0,0,0.18,Crystal Palace
Séamus Coleman,ie IRL,DF,37,3,1,11,0,0,0,0,0,0,0,Everton
Nathan Collins,ie IRL,DF,24,27,24,2255,1,2,0,5,0,0.04,0.08,Brentford
Lewis Cook,eng ENG,"MF,DF",29,16,8,872,0,1,0,1,1,0,0.1,Bournemouth
Diego Coppola,it ITA,DF,22,5,2,194,0,0,0,2,0,0,0,Brighton
Marc Cucurella,es ESP,DF,27,26,23,1987,1,3,0,5,1,0.05,0.14,Chelsea
Jorge Cuenca,es ESP,DF,26,14,11,933,0,0,0,5,0,0,0,Fulham
Josh Cullen,ie IRL,MF,29,18,18,1514,2,2,0,2,0,0.12,0.12,Burnley
Jair Cunha,br BRA,DF,21,3,2,215,0,0,0,0,0,0,0,Nottingham Forest
Matheus Cunha,br BRA,"MF,FW",26,27,23,1988,7,2,0,1,0,0.32,0.09,Manchester Utd
Diogo Dalot,pt POR,"MF,DF",27,28,24,2143,1,3,0,5,0,0.04,0.13,Manchester Utd
Mikkel Damsgaard,dk DEN,MF,25,26,18,1575,3,4,0,0,0,0.17,0.23,Brentford
Kevin Danso,at AUT,DF,27,16,10,843,0,0,0,4,0,0,0,Tottenham Hotspur
Karl Darlow,wls WAL,GK,35,14,14,1260,0,0,0,1,0,0,0,Leeds United
Ben Davies,wls WAL,DF,32,3,2,137,1,0,0,1,0,0.66,0,Tottenham Hotspur
Maxim De Cuyper,be BEL,"DF,MF",25,24,14,1152,2,0,0,2,0,0.16,0,Brighton
Liam Delap,eng ENG,FW,23,21,9,783,1,0,0,2,0,0.11,0,Chelsea
Sepp van den Berg,nl NED,DF,24,25,24,2214,0,1,0,1,0,0,0.04,Brentford
Justin Devenny,nir NIR,"MF,FW",22,18,5,603,1,0,1,0,0,0.15,0,Crystal Palace
Kiernan Dewsbury-Hall,eng ENG,MF,27,23,22,1917,6,3,0,6,0,0.28,0.14,Everton
Bafodé Diakité,fr FRA,DF,25,18,15,1277,0,0,0,1,0,0,0,Bournemouth
Amad Diallo,ci CIV,MF,23,24,21,1828,2,2,0,2,0,0.1,0.1,Manchester Utd
Habib Diarra,sn SEN,MF,22,13,11,1014,2,0,1,4,0,0.18,0,Sunderland
Rúben Dias,pt POR,DF,28,25,23,2051,2,0,0,3,0,0.09,0,Manchester City
Tyler Dibling,eng ENG,MF,20,14,4,358,0,0,0,2,0,0,0,Everton
Lucas Digne,fr FRA,DF,32,25,17,1467,0,4,0,3,0,0,0.25,Aston Villa
Issa Diop,fr FRA,DF,29,10,6,596,0,0,0,2,0,0,0,Fulham
El Hadji Malick Diouf,sn SEN,"DF,MF",21,24,22,2004,0,5,0,4,0,0,0.22,West Ham United
Axel Disasi,fr FRA,DF,28,6,6,540,0,0,0,0,0,0,0,West Ham United
Matt Doherty,ie IRL,"DF,MF",34,10,10,702,0,0,0,4,0,0,0,Wolves
Jeremy Doku,be BEL,"MF,FW",23,22,13,1231,1,4,0,0,0,0.07,0.29,Manchester City
Nicolás Domínguez,ar ARG,MF,27,19,14,934,1,0,0,2,0,0.1,0,Nottingham Forest
Gianluigi Donnarumma,it ITA,GK,27,27,27,2430,0,0,0,6,0,0,0,Manchester City
Romelle Donovan,eng ENG,FW,19,4,0,41,0,0,0,0,0,0,0,Brentford
Patrick Dorgu,dk DEN,MF,21,22,14,1335,3,3,0,5,0,0.2,0.2,Manchester Utd
Max Dowman,eng ENG,MF,16,3,0,46,1,0,0,0,0,1.96,0,Arsenal
Radu Drăgușin,ro ROU,DF,24,8,5,515,0,0,0,0,0,0,0,Tottenham Hotspur
Joél Drakes-Thomas,eng ENG,MF,16,2,0,9,0,0,0,0,0,0,0,Crystal Palace
Martin Dúbravka,sk SVK,GK,37,30,30,2700,0,0,0,1,0,0,0,Burnley
Lewis Dunk,eng ENG,DF,34,28,27,2475,0,0,0,9,0,0,0,Brighton
George Earthy,eng ENG,MF,21,1,0,9,0,0,0,0,0,0,0,West Ham United
Odsonne Édouard,fr FRA,FW,28,1,0,3,0,0,0,0,0,0,0,Crystal Palace
Tom Edozie,eng ENG,MF,19,1,0,7,1,0,0,0,0,12.86,0,Wolves
Alysson Edward,br BRA,MF,19,3,0,49,0,0,0,0,0,0,0,Aston Villa
Marcus Edwards,eng ENG,"MF,FW",27,18,9,897,1,3,0,0,0,0.1,0.3,Burnley
Hjalmar Ekdal,se SWE,DF,27,15,13,1179,0,0,0,0,0,0,0,Burnley
Hugo Ekitike,fr FRA,FW,23,27,20,1796,11,4,0,0,0,0.55,0.2,Liverpool
Anthony Elanga,se SWE,FW,23,26,12,1157,0,1,0,0,0,0,0.08,Newcastle United
Melker Ellborg,se SWE,GK,22,2,2,180,0,0,0,0,0,0,0,Sunderland
Harvey Elliott,eng ENG,MF,22,4,1,112,0,0,0,0,0,0,0,Aston Villa
Harvey Elliott,eng ENG,"FW,MF",22,1,0,1,0,0,0,0,0,0,0,Liverpool
Wataru Endo,jp JPN,DF,33,8,1,175,0,1,0,1,0,0,0.51,Liverpool
Romain Esse,eng ENG,MF,20,4,0,44,0,0,0,0,0,0,0,Crystal Palace
Maxime Estève,fr FRA,DF,23,27,27,2311,0,0,0,0,0,0,0,Burnley
Evanilson,br BRA,FW,26,28,24,2104,6,0,0,1,0,0.26,0,Bournemouth
Eberechi Eze,eng ENG,"MF,FW",27,25,16,1419,6,2,0,1,0,0.38,0.13,Arsenal
Eberechi Eze,eng ENG,MF,27,1,1,83,0,0,0,0,0,0,0,Crystal Palace
Bruno Fernandes,pt POR,MF,31,27,27,2344,7,16,3,3,0,0.27,0.61,Manchester Utd
Mateus Fernandes,pt POR,MF,21,28,27,2302,3,3,0,6,0,0.12,0.12,West Ham United
Enzo Fernández,ar ARG,MF,25,29,28,2488,8,3,2,8,0,0.29,0.11,Chelsea
Zian Flemming,nl NED,FW,27,21,13,1099,7,0,2,3,0,0.57,0,Burnley
Jack Fletcher,eng ENG,MF,18,3,0,108,0,0,0,0,0,0,0,Manchester Utd
Tyler Fletcher,sct SCO,MF,18,1,0,1,0,0,0,0,0,0,0,Manchester Utd
Phil Foden,eng ENG,MF,25,26,21,1811,7,3,0,4,0,0.35,0.15,Manchester City
Wesley Fofana,fr FRA,DF,25,18,13,1186,0,1,0,5,1,0,0.08,Chelsea
Lyle Foster,za RSA,"FW,MF",25,22,14,1226,3,1,0,4,0,0.22,0.07,Burnley
Tyler Fredricson,eng ENG,DF,21,1,0,3,0,0,0,0,0,0,0,Manchester Utd
Jeremie Frimpong,nl NED,"DF,MF",25,14,8,690,0,1,0,0,0,0,0.13,Liverpool
Niclas Füllkrug,de GER,FW,33,8,5,409,0,0,0,0,0,0,0,West Ham United
Cody Gakpo,nl NED,"MF,FW",26,28,24,2055,6,3,0,2,0,0.26,0.13,Liverpool
Conor Gallagher,eng ENG,MF,26,8,7,578,0,1,0,0,0,0,0.16,Tottenham Hotspur
Idrissa Gana Gueye,sn SEN,MF,36,21,21,1755,2,1,0,1,1,0.1,0.05,Everton
Ben Gannon-Doak,sct SCO,MF,20,4,0,57,0,1,0,0,0,0,1.58,Bournemouth
Andrés García,es ESP,DF,23,4,0,40,0,0,0,0,0,0,0,Aston Villa
Alejandro Garnacho,ar ARG,MF,21,19,14,1077,1,4,0,1,0,0.08,0.33,Chelsea
James Garner,eng ENG,"MF,DF",25,30,30,2693,2,5,0,7,0,0.07,0.17,Everton
Lutsharel Geertruida,nl NED,"DF,MF",25,24,13,1333,0,0,0,0,0,0,0,Sunderland
Tyrique George,eng ENG,FW,20,4,0,145,0,0,0,2,0,0,0,Chelsea
Tyrique George,eng ENG,MF,20,5,1,106,0,0,0,0,0,0,0,Everton
Morgan Gibbs-White,eng ENG,"MF,FW",26,30,29,2548,8,2,1,1,0,0.28,0.07,Nottingham Forest
Jamie Gittens,eng ENG,MF,21,16,5,495,0,2,0,0,0,0,0.36,Chelsea
Wilfried Gnonto,it ITA,FW,22,16,4,387,0,1,0,3,0,0,0.23,Leeds United
Angel Gomes,eng ENG,"MF,FW",25,7,4,284,0,0,0,1,0,0,0,Wolves
João Gomes,br BRA,MF,25,29,26,2297,1,1,0,9,0,0.04,0.04,Wolves
Rodrigo Gomes,pt POR,"MF,FW",22,15,6,602,3,0,0,0,0,0.45,0,Wolves
Toti Gomes,pt POR,DF,27,14,13,1039,0,0,0,2,1,0,0,Wolves
Diego Gómez,py PAR,"MF,FW",22,27,22,1841,5,0,0,8,0,0.24,0,Brighton
Joe Gomez,eng ENG,DF,28,16,6,500,0,2,0,2,0,0,0.36,Liverpool
Nicolás González,es ESP,MF,24,21,15,1376,1,0,0,6,0,0.07,0,Manchester City
Anthony Gordon,eng ENG,FW,25,24,22,1637,5,2,3,3,1,0.27,0.11,Newcastle United
Ryan Gravenberch,nl NED,MF,23,28,28,2428,4,3,0,5,0,0.15,0.11,Liverpool
Archie Gray,eng ENG,"MF,DF",20,20,16,1291,2,2,0,5,0,0.14,0.14,Tottenham Hotspur
Jack Grealish,eng ENG,MF,30,20,18,1627,2,6,0,5,1,0.11,0.33,Everton
Pascal Groß,de GER,MF,34,11,10,916,1,1,0,2,0,0.1,0.1,Brighton
Brajan Gruda,de GER,MF,21,18,8,719,1,1,0,2,0,0.13,0.13,Brighton
Ilia Gruev,bg BUL,MF,25,21,15,1293,0,3,0,3,0,0,0.21,Leeds United
Gabriel Gudmundsson,se SWE,"DF,MF",26,29,28,2362,0,0,0,6,1,0,0,Leeds United
Marc Guéhi,eng ENG,DF,25,20,20,1800,2,2,0,4,0,0.1,0.1,Crystal Palace
Marc Guéhi,eng ENG,DF,25,8,8,720,0,0,0,1,0,0,0,Manchester City
Evann Guessand,ci CIV,MF,24,13,6,588,0,1,0,0,0,0,0.15,Aston Villa
Evann Guessand,ci CIV,MF,24,6,3,300,1,1,0,0,0,0.3,0.3,Crystal Palace
Luis Guilherme,br BRA,FW,20,5,1,125,0,0,0,0,0,0,0,West Ham United
Bruno Guimarães,br BRA,MF,28,23,22,2017,9,4,2,5,0,0.4,0.18,Newcastle United
Marc Guiu,es ESP,FW,20,2,0,15,0,0,0,0,0,0,0,Sunderland
Marc Guiu,es ESP,FW,20,7,1,238,0,1,0,1,0,0,0.38,Chelsea
Angus Gunn,sct SCO,GK,30,1,0,45,0,0,0,0,0,0,0,Nottingham Forest
Malo Gusto,fr FRA,"DF,MF",22,27,19,1696,2,3,0,4,1,0.11,0.16,Chelsea
Joško Gvardiol,hr CRO,DF,24,16,15,1302,2,2,0,2,0,0.14,0.14,Manchester City
